Rank,Country/region,2020,2019,2018,2017,2016
1,India,6011000,6050000,5989000,5940000,5667000
2,Dominican Republic,1271303,1176453,1026619,869306,863201
3,Brazil,1235003,1171026,1065421,1058487,1296940
4,Mexico,1117437,1083133,1039820,961768,951922
5,Indonesia,1016388,986991,887580,875112,904284
6,Nigeria,877120,881828,877036,872496,843093
7,Democratic Republic of the Congo,210000,210592,211185,210211,212687
8,Colombia,194332,144967,125328,168594,177458
9,Peru,186508,166180,175999,177171,169437
10,Thailand,164360,164655,165161,163263,165540
11,Philippines,163299,166164,169143,167043,162481
12,Cuba,158231,187821,176630,189086,212579
13,Taiwan,138333,122272,127244,125521,105921
14,Bangladesh,130679,135809,131598,134647,130371
15,Kenya,118924,105048,134436,112932,118084
16,Guatemala,102278,97904,93433,103964,96896
17,Ethiopia,72008,51947,59205,54355,50396
18,Venezuela,71717,101165,137985,160707,177180
19,Guyana,70535,69473,68867,69052,41881
20,Malawi,66824,64519,62896,59670,56091
21,Malaysia,61776,53681,52917,83797,65967
22,Mali,57476,67319,67319,20980,54664
23,Costa Rica,54591,33460,85500,54000,100000
24,Ecuador,47143,46793,47650,46987,45740
25,Mozambique,43018,42935,42852,42916,42907
26,China,35709,35587,35872,35667,35223
27,Laos,28967,29990,27365,25295,28989
28,Yemen,25099,24502,19884,21735,21591
29,Nepal,18310,15525,14505,12912,14137
30,Bolivia,18094,18291,18040,17339,18216
31,Ivory Coast,13992,13917,14117,13943,13689
32,South Africa,11525,10543,12909,13739,15525
33,Paraguay,11405,11386,11375,11313,11457
34,Jamaica,10825,10999,9537,7705,8582
35,Pakistan,8537,7630,7201,6548,6185
36,Puerto Rico,8467,8443,8748,8211,8371
37,Panama,8083,8200,8059,7835,7726
38,Australia,6345,6331,6316,6232,6205
39,Oman,5830,5830,5572,5772,5772
40,Ghana,5661,5636,5617,5730,5561
41,United States,3756,5330,4720,11610,8963
42,Republic of the Congo,3718,3721,3715,3718,3731
43,Fiji,3635,4005,3285,3434,3174
44,Maldives,3419,3256,1833,1252,1288
45,Samoa,3371,3392,3413,3392,3390
46,Guinea-Bissau,2984,2975,2996,2981,2947
47,El Salvador,2734,4845,7781,7111,8151
48,Rwanda,2278,2211,623,1662,2920
49,Argentina,2207,2204,2201,2207,2207
50,East Timor,2169,2194,2118,2194,2270
51,Chile,2151,2378,2208,2490,2655
52,Trinidad and Tobago,1660,1640,1312,1270,942
53,Suriname,892,854,810,745,713
54,Cook Islands,604,604,602,605,605
55,Bahamas,572,569,565,563,566
56,Honduras,516,621,764,794,530
57,Iran,302,298,301,306,288
58,Morocco,169,169,169,169,171
59,Haiti,101,101,101,101,101
60,Dominica,83,83,83,83,83
60,Israel,83,101,44,60,61
62,Tunisia,75,74,73,73,72
63,Cameroon,47,46,45,44,42
64,Zimbabwe,45,45,45,46,45
